"idp","refugee","pop","perc.moving"
"AFG",159549,2414464,28397812,9.06
"ALA",0,0,NA,NA
"ALB",0,10477,NA,NA
"DZA",0,10671,34895000,0.03
"ASM",0,0,NA,NA
"AND",0,3,NA,NA
"AGO",0,228851,18498000,1.24
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,796,NA,NA
"ARM",0,13410,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,13,NA,NA
"AUT",0,47,NA,NA
"AZE",578545,250589,NA,NA
"BHS",0,1,NA,NA
"BHR",0,52,1251513,0
"BGD",0,5719,156050883,0
"BRB",0,7,NA,NA
"BLR",0,8231,NA,NA
"BEL",0,45,NA,NA
"BLZ",0,9,NA,NA
"BEN",0,309,8935000,0
"BMU",0,0,NA,NA
"BTN",0,105255,716939,14.68
"BOL",0,285,NA,NA
"BIH",309240,133506,NA,NA
"BWA",0,6,1950000,0
"IOT",0,0,NA,NA
"BRA",0,403,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,2231,NA,NA
"BFA",0,577,15757000,0
"BDI",855,42055,8303000,0.52
"KHM",0,15755,NA,NA
"CMR",0,7614,19522000,0.04
"CAN",0,56,NA,NA
"CPV",0,8,506000,0
"CYM",0,0,NA,NA
"CAF",0,31067,4422000,0.7
"TCD",0,52645,11206000,0.47
"CHL",0,1194,NA,NA
"CHN",0,134722,NA,NA
"COL",2e+06,47381,NA,NA
"COM",0,50,676000,0.01
"COG",0,28144,3683000,0.76
"COD",0,308709,66020000,0.47
"COK",0,0,NA,NA
"CRI",0,138,NA,NA
"HRV",7540,35360,NA,NA
"CUB",0,15675,NA,NA
"CUW",0,0,NA,NA
"CYP",0,2,NA,NA
"CZE",0,4528,NA,NA
"DNK",0,10,NA,NA
"DJI",0,495,516055,0.1
"DMA",0,25,NA,NA
"DOM",0,97,NA,NA
"TLS",0,0,1079450,0
"ECU",0,727,NA,NA
"EGY",0,5371,83082869,0.01
"SLV",0,4497,NA,NA
"GNQ",0,0,676000,0
"ERI",0,131115,5073000,2.58
"EST",0,855,NA,NA
"ETH",0,63140,79221000,0.08
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1281,NA,NA
"FIN",0,3,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,110,NA,NA
"GUF",0,0,NA,NA
"GAB",0,53,1475000,0
"GMB",0,684,1705000,0.04
"Gaza",0,0,NA,NA
"GEO",237069,6626,NA,NA
"DEU",0,78,NA,NA
"GHA",0,14772,23837000,0.06
"GRC",0,224,NA,NA
"GRL",0,0,NA,NA
"GRD",0,99,NA,NA
"GUM",0,0,NA,NA
"GTM",0,4376,NA,NA
"GGY",0,0,NA,NA
"GIN",0,4782,10069000,0.05
"GNB",0,0,1611000,0
"GUY",0,194,NA,NA
"HTI",0,9208,NA,NA
"HMD",0,0,NA,NA
"HND",0,484,NA,NA
"HKG",0,0,NA,NA
"HUN",0,2749,NA,NA
"ISL",0,10,NA,NA
"IND",0,13344,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,27919,240271522,0.01
"IRN",0,115165,74462314,0.15
"IRQ",0,311823,30962380,1.01
"IRL",0,3,NA,NA
"IMN",0,0,NA,NA
"ISR",0,672,NA,NA
"ITA",0,192,NA,NA
"CIV",38039,23615,21075000,0.29
"JAM",0,350,NA,NA
"JPN",0,21,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1170,6454554,0.02
"KAZ",0,6121,NA,NA
"KEN",0,3847,39802000,0.01
"KIR",0,32,NA,NA
"KOS",0,0,NA,NA
"KWT",0,398,2991580,0.01
"KGZ",0,3284,NA,NA
"LAO",0,0,NA,NA
"LVA",0,2826,NA,NA
"LBN",0,19865,4341092,0.46
"LSO",0,7,2067000,0
"LBR",498566,335293,3476608,23.98
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,1476,NA,NA
"LUX",0,1,NA,NA
"MAC",0,0,NA,NA
"MKD",0,4325,NA,NA
"MDG",0,135,19625000,0
"MWI",0,94,15263000,0
"MYS",0,292,NA,NA
"MDV",0,3,325694,0
"MLI",0,483,13010000,0
"MLT",0,3,NA,NA
"MHL",0,0,NA,NA
"MRT",0,31111,3291000,0.95
"MUS",0,19,1288000,0
"MEX",0,1744,NA,NA
"FSM",0,0,NA,NA
"MDA",0,11938,NA,NA
"MCO",0,0,NA,NA
"MNG",0,442,NA,NA
"MNE",0,0,NA,NA
"MSR",0,0,NA,NA
"MAR",0,1318,34859364,0
"MOZ",0,104,22894000,0
"MMR",0,161008,48137741,0.33
"CYN",0,0,NA,NA
"PRK",0,343,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1314,2171000,0.06
"NRU",0,0,NA,NA
"NPL",0,1414,28563377,0
"NLD",0,48,NA,NA
"NCL",0,0,NA,NA
"NZL",0,3,NA,NA
"NIC",0,1821,NA,NA
"NER",0,689,15290000,0
"NGA",0,23890,154729000,0.02
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,5,NA,NA
"OMN",0,18,2802768,0
"PAK",0,25939,173149306,0.01
"PLW",0,0,NA,NA
"PAN",0,40,NA,NA
"PNG",0,18,NA,NA
"PRY",0,37,NA,NA
"PER",0,4769,NA,NA
"PHL",0,434,NA,NA
"PCN",0,0,NA,NA
"POL",0,10680,NA,NA
"PRT",0,47,NA,NA
"PRI",0,0,NA,NA
"QAT",0,10,1749713,0
"ROU",0,6045,NA,NA
"RUS",334796,108100,NA,NA
"RWA",0,63603,9998000,0.64
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,34,NA,NA
"WSM",0,0,NA,NA
"SMR",0,1,NA,NA
"STP",0,39,212679,0.02
"SAU",0,214,28686633,0
"SEN",0,1015,12534000,0.01
"SRB",0,0,NA,NA
"SYC",0,44,87476,0.05
"SLE",0,41529,5696000,0.73
"SGP",0,36,NA,NA
"SXM",0,0,NA,NA
"SVK",0,619,NA,NA
"SVN",0,119,NA,NA
"SLB",0,0,NA,NA
"SOM",0,383490,9832017,3.9
"SOL",0,0,NA,NA
"ZAF",0,269,49320500,0
"ESP",0,49,NA,NA
"LKA",351884,114049,20758779,2.24
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",662302,730637,35652002,3.91
"SUR",0,51,NA,NA
"SWZ",0,14,1185000,0
"SWE",0,29,NA,NA
"CHE",0,12,NA,NA
"SYR",0,21434,21532647,0.1
"TWN",0,0,NA,NA
"TJK",0,56775,NA,NA
"TZA",0,0,43739000,0
"THA",0,319,66402316,0
"TGO",0,10818,6619000,0.16
"TON",0,5,NA,NA
"TTO",0,41,NA,NA
"TUN",0,2516,NA,NA
"TUR",0,174578,72137546,0.24
"TKM",0,812,NA,NA
"TCA",0,0,NA,NA
"TUV",0,3,NA,NA
"VIR",0,0,NA,NA
"UGA",0,31962,32710000,0.1
"UKR",0,89587,46050220,0.19
"ARE",0,71,8441537,0
"GBR",0,144,NA,NA
"USA",0,451,NA,NA
"URY",0,81,NA,NA
"UZB",0,7290,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,1256,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",0,1606,23822783,0.01
"ZMB",0,124,12935000,0
"ZWE",0,9568,12523000,0.08
