"idp","refugee","pop","perc.moving"
"AFG",230670,2833126,28397812,10.79
"ALA",0,0,NA,NA
"ALB",0,15006,NA,NA
"DZA",0,9048,34895000,0.03
"ASM",0,0,NA,NA
"AND",0,6,NA,NA
"AGO",0,171393,18498000,0.93
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,1047,NA,NA
"ARM",0,16336,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,43,NA,NA
"AUT",0,14,NA,NA
"AZE",603251,16319,NA,NA
"BHS",0,15,NA,NA
"BHR",0,80,1251513,0.01
"BGD",0,10079,156050883,0.01
"BRB",0,34,NA,NA
"BLR",0,5384,NA,NA
"BEL",0,61,NA,NA
"BLZ",0,20,NA,NA
"BEN",0,318,8935000,0
"BMU",0,0,NA,NA
"BTN",0,104965,716939,14.64
"BOL",0,454,NA,NA
"BIH",124529,74362,NA,NA
"BWA",0,26,1950000,0
"IOT",0,0,NA,NA
"BRA",0,1404,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,3040,NA,NA
"BFA",0,725,15757000,0
"BDI",1e+05,41103,8303000,1.7
"KHM",0,14896,NA,NA
"CMR",0,13865,19522000,0.07
"CAN",0,101,NA,NA
"CPV",0,30,506000,0.01
"CYM",0,0,NA,NA
"CAF",197000,125106,4422000,7.28
"TCD",166718,55097,11206000,1.98
"CHL",0,994,NA,NA
"CHN",0,175168,NA,NA
"COL",3e+06,373532,NA,NA
"COM",0,378,676000,0.06
"COG",0,19918,3683000,0.54
"COD",1460102,288226,66020000,2.65
"COK",0,0,NA,NA
"CRI",0,354,NA,NA
"HRV",2497,97012,NA,NA
"CUB",0,7938,NA,NA
"CUW",0,0,NA,NA
"CYP",0,10,NA,NA
"CZE",0,1358,NA,NA
"DNK",0,11,NA,NA
"DJI",0,650,516055,0.13
"DMA",0,56,NA,NA
"DOM",0,318,NA,NA
"TLS",0,0,1079450,0
"ECU",0,1066,NA,NA
"EGY",0,6776,83082869,0.01
"SLV",0,5151,NA,NA
"GNQ",0,0,676000,0
"ERI",0,186077,5073000,3.67
"EST",0,248,NA,NA
"ETH",0,63796,79221000,0.08
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1868,NA,NA
"FIN",0,4,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,101,NA,NA
"GUF",0,0,NA,NA
"GAB",0,129,1475000,0.01
"GMB",0,1352,1705000,0.08
"Gaza",0,0,NA,NA
"GEO",329870,12598,NA,NA
"DEU",0,166,NA,NA
"GHA",0,13240,23837000,0.06
"GRC",0,67,NA,NA
"GRL",0,0,NA,NA
"GRD",0,312,NA,NA
"GUM",0,0,NA,NA
"GTM",0,5934,NA,NA
"GGY",0,0,NA,NA
"GIN",0,9493,10069000,0.09
"GNB",0,0,1611000,0
"GUY",0,708,NA,NA
"HTI",0,23066,NA,NA
"HMD",0,0,NA,NA
"HND",0,1116,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1614,NA,NA
"ISL",0,7,NA,NA
"IND",0,19569,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,19345,240271522,0.01
"IRN",0,69053,74462314,0.09
"IRQ",2647251,1901299,30962380,14.69
"IRL",0,7,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1494,NA,NA
"ITA",0,62,NA,NA
"CIV",683956,22136,21075000,3.35
"JAM",0,826,NA,NA
"JPN",0,185,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1890,6454554,0.03
"KAZ",0,4825,NA,NA
"KEN",404000,9686,39802000,1.04
"KIR",0,38,NA,NA
"KOS",0,0,NA,NA
"KWT",0,854,2991580,0.03
"KGZ",0,2517,NA,NA
"LAO",0,0,NA,NA
"LVA",0,763,NA,NA
"LBN",0,12967,4341092,0.3
"LSO",0,8,2067000,0
"LBR",0,74955,3476608,2.16
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,490,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7521,NA,NA
"MDG",0,276,19625000,0
"MWI",0,106,15263000,0
"MYS",0,608,NA,NA
"MDV",0,16,325694,0
"MLI",0,1758,13010000,0.01
"MLT",0,9,NA,NA
"MHL",0,0,NA,NA
"MRT",0,45599,3291000,1.39
"MUS",0,24,1288000,0
"MEX",0,6162,NA,NA
"FSM",0,0,NA,NA
"MDA",0,5555,NA,NA
"MCO",0,0,NA,NA
"MNG",0,1333,NA,NA
"MNE",0,1283,NA,NA
"MSR",0,0,NA,NA
"MAR",0,3533,34859364,0.01
"MOZ",0,208,22894000,0
"MMR",67290,184355,48137741,0.52
"CYN",0,0,NA,NA
"PRK",0,886,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,985,2171000,0.05
"NRU",0,3,NA,NA
"NPL",0,4181,28563377,0.01
"NLD",0,46,NA,NA
"NCL",0,0,NA,NA
"NZL",0,10,NA,NA
"NIC",0,1537,NA,NA
"NER",0,796,15290000,0.01
"NGA",0,14163,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,4,NA,NA
"OMN",0,56,2802768,0
"PAK",155809,32386,173149306,0.11
"PLW",0,1,NA,NA
"PAN",0,111,NA,NA
"PNG",0,46,NA,NA
"PRY",0,101,NA,NA
"PER",0,7339,NA,NA
"PHL",0,1354,NA,NA
"PCN",0,0,NA,NA
"POL",0,2391,NA,NA
"PRT",0,36,NA,NA
"PRI",0,0,NA,NA
"QAT",0,71,1749713,0
"ROU",0,4756,NA,NA
"RUS",91505,103058,NA,NA
"RWA",0,72349,9998000,0.72
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,288,NA,NA
"WSM",0,4,NA,NA
"SMR",0,1,NA,NA
"STP",0,35,212679,0.02
"SAU",0,712,28686633,0
"SEN",0,8514,12534000,0.07
"SRB",225879,185935,NA,NA
"SYC",0,53,87476,0.06
"SLE",0,32233,5696000,0.57
"SGP",0,109,NA,NA
"SXM",0,0,NA,NA
"SVK",0,331,NA,NA
"SVN",0,52,NA,NA
"SLB",0,0,NA,NA
"SOM",1277200,559038,9832017,18.68
"SOL",0,0,NA,NA
"ZAF",0,453,49320500,0
"ESP",0,27,NA,NA
"LKA",504800,137723,20758779,3.1
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1201040,418873,35652002,4.54
"SUR",0,50,NA,NA
"SWZ",0,32,1185000,0
"SWE",0,15,NA,NA
"CHE",0,32,NA,NA
"SYR",0,15211,21532647,0.07
"TWN",0,0,NA,NA
"TJK",0,544,NA,NA
"TZA",0,0,43739000,0
"THA",0,1815,66402316,0
"TGO",0,16748,6619000,0.25
"TON",0,7,NA,NA
"TTO",0,231,NA,NA
"TUN",0,2349,NA,NA
"TUR",0,214378,72137546,0.3
"TKM",0,735,NA,NA
"TCA",0,0,NA,NA
"TUV",0,2,NA,NA
"VIR",0,0,NA,NA
"UGA",853000,7531,32710000,2.63
"UKR",0,28424,46050220,0.06
"ARE",0,256,8441537,0
"GBR",0,185,NA,NA
"USA",0,2137,NA,NA
"URY",0,199,NA,NA
"UZB",0,6308,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,5807,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",1e+05,1777,23822783,0.43
"ZMB",0,195,12935000,0
"ZWE",0,16840,12523000,0.13
