"idp","refugee","pop","perc.moving"
"AFG",447547,2664418,28397812,10.96
"ALA",0,0,NA,NA
"ALB",0,13551,NA,NA
"DZA",0,6117,34895000,0.02
"ASM",0,0,NA,NA
"AND",0,6,NA,NA
"AGO",0,128662,18498000,0.7
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,518,NA,NA
"ARM",0,16487,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,39,NA,NA
"AUT",0,11,NA,NA
"AZE",599192,16162,NA,NA
"BHS",0,185,NA,NA
"BHR",0,215,1251513,0.02
"BGD",0,10006,156050883,0.01
"BRB",0,45,NA,NA
"BLR",0,5925,NA,NA
"BEL",0,90,NA,NA
"BLZ",0,32,NA,NA
"BEN",0,461,8935000,0.01
"BMU",0,0,NA,NA
"BTN",0,57989,716939,8.09
"BOL",0,611,NA,NA
"BIH",113000,58578,NA,NA
"BWA",0,85,1950000,0
"IOT",0,0,NA,NA
"BRA",0,1045,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,2327,NA,NA
"BFA",0,1271,15757000,0.01
"BDI",78796,33729,8303000,1.36
"KHM",0,14215,NA,NA
"CMR",0,15155,19522000,0.08
"CAN",0,109,NA,NA
"CPV",0,27,506000,0.01
"CYM",0,0,NA,NA
"CAF",105206,162862,4422000,6.06
"TCD",124000,42640,11206000,1.49
"CHL",0,1189,NA,NA
"CHN",0,190348,NA,NA
"COL",3888309,395949,NA,NA
"COM",0,422,676000,0.06
"COG",0,12836,3683000,0.35
"COD",1709278,429520,66020000,3.24
"COK",0,0,NA,NA
"CRI",0,331,NA,NA
"HRV",0,62649,NA,NA
"CUB",0,7855,NA,NA
"CUW",0,0,NA,NA
"CYP",0,11,NA,NA
"CZE",0,763,NA,NA
"DNK",0,9,NA,NA
"DJI",0,602,516055,0.12
"DMA",0,52,NA,NA
"DOM",0,250,NA,NA
"TLS",0,0,1079450,0
"ECU",0,909,NA,NA
"EGY",0,7928,83082869,0.01
"SLV",0,6720,NA,NA
"GNQ",0,0,676000,0
"ERI",0,251950,5073000,4.97
"EST",0,224,NA,NA
"ETH",0,70580,79221000,0.09
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1579,NA,NA
"FIN",0,7,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,99,NA,NA
"GUF",0,0,NA,NA
"GAB",0,173,1475000,0.01
"GMB",0,2578,1705000,0.15
"Gaza",0,0,NA,NA
"GEO",273997,10112,NA,NA
"DEU",0,174,NA,NA
"GHA",0,20356,23837000,0.09
"GRC",0,56,NA,NA
"GRL",0,0,NA,NA
"GRD",0,323,NA,NA
"GUM",0,0,NA,NA
"GTM",0,6088,NA,NA
"GGY",0,0,NA,NA
"GIN",0,13150,10069000,0.13
"GNB",0,0,1611000,0
"GUY",0,771,NA,NA
"HTI",0,33661,NA,NA
"HMD",0,0,NA,NA
"HND",0,1966,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1238,NA,NA
"ISL",0,3,NA,NA
"IND",0,16232,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,16079,240271522,0.01
"IRN",0,72340,74462314,0.1
"IRQ",1332382,1428301,30962380,8.92
"IRL",0,8,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1335,NA,NA
"ITA",0,58,NA,NA
"CIV",126668,154783,21075000,1.34
"JAM",0,1246,NA,NA
"JPN",0,176,NA,NA
"JEY",0,0,NA,NA
"JOR",0,2250,6454554,0.03
"KAZ",0,3500,NA,NA
"KEN",3e+05,8743,39802000,0.78
"KIR",0,33,NA,NA
"KOS",0,0,NA,NA
"KWT",0,1120,2991580,0.04
"KGZ",163900,3160,NA,NA
"LAO",0,0,NA,NA
"LVA",0,709,NA,NA
"LBN",0,15013,4341092,0.35
"LSO",0,11,2067000,0
"LBR",0,66719,3476608,1.92
"LBY",93565,4384,6310434,1.55
"LIE",0,0,NA,NA
"LTU",0,528,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7684,NA,NA
"MDG",0,289,19625000,0
"MWI",0,222,15263000,0
"MYS",0,537,NA,NA
"MDV",0,21,325694,0.01
"MLI",0,4295,13010000,0.03
"MLT",0,6,NA,NA
"MHL",0,0,NA,NA
"MRT",0,39929,3291000,1.21
"MUS",0,42,1288000,0
"MEX",0,7472,NA,NA
"FSM",0,0,NA,NA
"MDA",0,6264,NA,NA
"MCO",0,4,NA,NA
"MNG",0,1985,NA,NA
"MNE",0,3698,NA,NA
"MSR",0,0,NA,NA
"MAR",0,2312,34859364,0.01
"MOZ",0,155,22894000,0
"MMR",339200,414497,48137741,1.57
"CYN",0,0,NA,NA
"PRK",0,1052,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1073,2171000,0.05
"NRU",0,0,NA,NA
"NPL",0,6847,28563377,0.02
"NLD",0,64,NA,NA
"NCL",0,0,NA,NA
"NZL",0,18,NA,NA
"NIC",0,1468,NA,NA
"NER",0,818,15290000,0.01
"NGA",0,17137,154729000,0.01
"NIU",0,7,NA,NA
"NFK",0,0,NA,NA
"NOR",0,7,NA,NA
"OMN",0,60,2802768,0
"PAK",452932,35917,173149306,0.28
"PLW",0,0,NA,NA
"PAN",0,100,NA,NA
"PNG",0,128,NA,NA
"PRY",0,91,NA,NA
"PER",0,5491,NA,NA
"PHL",159465,952,NA,NA
"PCN",0,0,NA,NA
"POL",0,1815,NA,NA
"PRT",0,28,NA,NA
"PRI",0,0,NA,NA
"QAT",0,95,1749713,0.01
"ROU",0,3428,NA,NA
"RUS",28450,109778,NA,NA
"RWA",0,106830,9998000,1.07
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",560161,1,9940929,5.63
"SHN",0,0,NA,NA
"LCA",0,433,NA,NA
"WSM",0,1,NA,NA
"SMR",0,1,NA,NA
"STP",0,33,212679,0.02
"SAU",0,745,28686633,0
"SEN",0,10064,12534000,0.08
"SRB",228215,161671,NA,NA
"SYC",0,42,87476,0.05
"SLE",0,7972,5696000,0.14
"SGP",0,67,NA,NA
"SXM",0,0,NA,NA
"SVK",0,269,NA,NA
"SVN",0,32,NA,NA
"SLB",0,0,NA,NA
"SOM",1356845,1075475,9832017,24.74
"SOL",0,0,NA,NA
"ZAF",0,429,49320500,0
"ESP",0,43,NA,NA
"LKA",138401,136581,20758779,1.32
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",2422520,500013,35652002,8.2
"SUR",0,20,NA,NA
"SWZ",0,43,1185000,0
"SWE",0,24,NA,NA
"CHE",0,20,NA,NA
"SYR",0,19931,21532647,0.09
"TWN",0,0,NA,NA
"TJK",0,612,NA,NA
"TZA",0,0,43739000,0
"THA",0,368,66402316,0
"TGO",0,17869,6619000,0.27
"TON",0,10,NA,NA
"TTO",0,297,NA,NA
"TUN",0,1952,NA,NA
"TUR",0,139779,72137546,0.19
"TKM",0,725,NA,NA
"TCA",0,0,NA,NA
"TUV",0,1,NA,NA
"VIR",0,0,NA,NA
"UGA",29776,5660,32710000,0.11
"UKR",0,25379,46050220,0.06
"ARE",0,486,8441537,0.01
"GBR",0,150,NA,NA
"USA",0,3778,NA,NA
"URY",0,184,NA,NA
"UZB",0,12657,NA,NA
"VUT",0,1,NA,NA
"VAT",0,0,NA,NA
"VEN",0,7577,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",347295,2322,23822783,1.47
"ZMB",0,240,12935000,0
"ZWE",54278,25048,12523000,0.63
