"idp","refugee","pop","perc.moving"
"QAT",0,112,1749713,0.01
"ROU",0,3934,NA,NA
"RUS",75371,111947,NA,NA
"RWA",0,114833,9998000,1.15
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,334,NA,NA
"WSM",0,1,NA,NA
"SMR",0,2,NA,NA
"STP",0,33,212679,0.02
"SAU",0,667,28686633,0
"SEN",0,8787,12534000,0.07
"SRB",228442,183373,NA,NA
"SYC",0,49,87476,0.06
"SLE",0,11250,5696000,0.2
"SGP",0,76,NA,NA
"SXM",0,0,NA,NA
"SVK",0,158,NA,NA
"SVN",0,38,NA,NA
"SLB",0,0,NA,NA
"SOM",1463780,768277,9832017,22.7
"SOL",0,0,NA,NA
"ZAF",0,380,49320500,0
"ESP",0,42,NA,NA
"LKA",273772,141044,20758779,2
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1624100,386369,35652002,5.64
"SUR",0,25,NA,NA
"SWZ",0,36,1185000,0
"SWE",0,25,NA,NA
"CHE",0,19,NA,NA
"SYR",0,18452,21532647,0.09
"TWN",0,0,NA,NA
"TJK",0,577,NA,NA
"TZA",0,0,43739000,0
"THA",0,356,66402316,0
"TGO",0,18328,6619000,0.28
"TON",0,6,NA,NA
"TTO",0,255,NA,NA
"TUN",0,2174,NA,NA
"TUR",0,146794,72137546,0.2
"TKM",0,737,NA,NA
"TCA",0,0,NA,NA
"TUV",0,0,NA,NA
"VIR",0,0,NA,NA
"UGA",125598,6424,32710000,0.4
"UKR",0,25111,46050220,0.05
"ARE",0,424,8441537,0.01
"GBR",0,153,NA,NA
"USA",0,3026,NA,NA
"URY",0,186,NA,NA
"UZB",0,8829,NA,NA
"VUT",0,1,NA,NA
"VAT",0,0,NA,NA
"VEN",0,6701,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",220994,2075,23822783,0.94
"ZMB",0,228,12935000,0
"ZWE",0,24089,12523000,0.19
