"idp","refugee","pop","perc.moving"
"AFG",351907,3054696,28397812,12
"ALA",0,0,NA,NA
"ALB",0,14772,NA,NA
"DZA",0,6679,34895000,0.02
"ASM",0,0,NA,NA
"AND",0,6,NA,NA
"AGO",0,134858,18498000,0.73
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,557,NA,NA
"ARM",0,17547,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,37,NA,NA
"AUT",0,10,NA,NA
"AZE",592860,16753,NA,NA
"BHS",0,17,NA,NA
"BHR",0,87,1251513,0.01
"BGD",0,10001,156050883,0.01
"BRB",0,32,NA,NA
"BLR",0,5743,NA,NA
"BEL",0,83,NA,NA
"BLZ",0,23,NA,NA
"BEN",0,442,8935000,0
"BMU",0,0,NA,NA
"BTN",0,75070,716939,10.47
"BOL",0,590,NA,NA
"BIH",113365,63004,NA,NA
"BWA",0,53,1950000,0
"IOT",0,0,NA,NA
"BRA",0,994,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,2559,NA,NA
"BFA",0,1145,15757000,0.01
"BDI",157167,36707,8303000,2.33
"KHM",0,14386,NA,NA
"CMR",0,14956,19522000,0.08
"CAN",0,90,NA,NA
"CPV",0,25,506000,0
"CYM",0,0,NA,NA
"CAF",192529,164904,4422000,8.08
"TCD",131000,53713,11206000,1.65
"CHL",0,1170,NA,NA
"CHN",0,184585,NA,NA
"COL",3672054,395577,NA,NA
"COM",0,368,676000,0.05
"COG",0,20657,3683000,0.56
"COD",1721382,416411,66020000,3.24
"COK",0,0,NA,NA
"CRI",0,352,NA,NA
"HRV",2125,65861,NA,NA
"CUB",0,7476,NA,NA
"CUW",0,0,NA,NA
"CYP",0,13,NA,NA
"CZE",0,817,NA,NA
"DNK",0,9,NA,NA
"DJI",0,566,516055,0.11
"DMA",0,52,NA,NA
"DOM",0,246,NA,NA
"TLS",0,0,1079450,0
"ECU",0,852,NA,NA
"EGY",0,6902,83082869,0.01
"SLV",0,4976,NA,NA
"GNQ",0,0,676000,0
"ERI",0,221475,5073000,4.37
"EST",0,240,NA,NA
"ETH",0,68775,79221000,0.09
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1851,NA,NA
"FIN",0,6,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,92,NA,NA
"GUF",0,0,NA,NA
"GAB",0,165,1475000,0.01
"GMB",0,2242,1705000,0.13
"Gaza",0,0,NA,NA
"GEO",359716,10643,NA,NA
"DEU",0,164,NA,NA
"GHA",0,20197,23837000,0.08
"GRC",0,51,NA,NA
"GRL",0,0,NA,NA
"GRD",0,345,NA,NA
"GUM",0,0,NA,NA
"GTM",0,5679,NA,NA
"GGY",0,0,NA,NA
"GIN",0,11983,10069000,0.12
"GNB",0,0,1611000,0
"GUY",0,748,NA,NA
"HTI",0,25892,NA,NA
"HMD",0,0,NA,NA
"HND",0,1302,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1438,NA,NA
"ISL",0,4,NA,NA
"IND",0,17769,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,16892,240271522,0.01
"IRN",0,68778,74462314,0.09
"IRQ",1343568,1680684,30962380,9.77
"IRL",0,8,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1301,NA,NA
"ITA",0,50,NA,NA
"CIV",514515,41683,21075000,2.64
"JAM",0,1050,NA,NA
"JPN",0,152,NA,NA
"JEY",0,0,NA,NA
"JOR",0,2254,6454554,0.03
"KAZ",0,3640,NA,NA
"KEN",3e+05,8601,39802000,0.78
"KIR",0,33,NA,NA
"KOS",0,0,NA,NA
"KWT",0,988,2991580,0.03
"KGZ",80000,2744,NA,NA
"LAO",0,0,NA,NA
"LVA",0,713,NA,NA
"LBN",0,15869,4341092,0.37
"LSO",0,11,2067000,0
"LBR",0,70021,3476608,2.01
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,515,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7890,NA,NA
"MDG",0,270,19625000,0
"MWI",0,171,15263000,0
"MYS",0,552,NA,NA
"MDV",0,19,325694,0.01
"MLI",0,3663,13010000,0.03
"MLT",0,6,NA,NA
"MHL",0,0,NA,NA
"MRT",0,37733,3291000,1.15
"MUS",0,28,1288000,0
"MEX",0,6816,NA,NA
"FSM",0,0,NA,NA
"MDA",0,6200,NA,NA
"MCO",0,2,NA,NA
"MNG",0,1724,NA,NA
"MNE",0,3246,NA,NA
"MSR",0,0,NA,NA
"MAR",0,2284,34859364,0.01
"MOZ",0,131,22894000,0
"MMR",62015,415551,48137741,0.99
"CYN",0,0,NA,NA
"PRK",0,917,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1017,2171000,0.05
"NRU",0,0,NA,NA
"NPL",0,5878,28563377,0.02
"NLD",0,53,NA,NA
"NCL",0,0,NA,NA
"NZL",0,15,NA,NA
"NIC",0,1431,NA,NA
"NER",0,802,15290000,0.01
"NGA",0,15632,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,7,NA,NA
"OMN",0,63,2802768,0
"PAK",952035,39951,173149306,0.57
"PLW",0,0,NA,NA
"PAN",0,100,NA,NA
"PNG",0,89,NA,NA
"PRY",0,86,NA,NA
"PER",0,5834,NA,NA
"PHL",139509,970,NA,NA
"PCN",0,0,NA,NA
"POL",0,1764,NA,NA
"PRT",0,30,NA,NA
"PRI",0,0,NA,NA
