"idp","refugee","pop","perc.moving"
"GRC",0,91,NA,NA
"GRL",0,0,NA,NA
"GRD",0,202,NA,NA
"GUM",0,0,NA,NA
"GTM",0,6496,NA,NA
"GGY",0,0,NA,NA
"GIN",0,6840,10069000,0.07
"GNB",0,0,1611000,0
"GUY",0,537,NA,NA
"HTI",0,20837,NA,NA
"HMD",0,0,NA,NA
"HND",0,1035,NA,NA
"HKG",0,0,NA,NA
"HUN",0,3119,NA,NA
"ISL",0,31,NA,NA
"IND",0,17811,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,34728,240271522,0.01
"IRN",0,102471,74462314,0.14
"IRQ",1834368,1450868,30962380,10.61
"IRL",0,4,NA,NA
"IMN",0,0,NA,NA
"ISR",0,882,NA,NA
"ITA",0,105,NA,NA
"CIV",709228,26240,21075000,3.49
"JAM",0,660,NA,NA
"JPN",0,168,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1603,6454554,0.02
"KAZ",0,7377,NA,NA
"KEN",0,5357,39802000,0.01
"KIR",0,41,NA,NA
"KOS",0,0,NA,NA
"KWT",0,617,2991580,0.02
"KGZ",0,2488,NA,NA
"LAO",0,0,NA,NA
"LVA",0,1424,NA,NA
"LBN",2e+05,12252,4341092,4.89
"LSO",0,8,2067000,0
"LBR",0,160304,3476608,4.61
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,942,NA,NA
"LUX",0,2,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7940,NA,NA
"MDG",0,260,19625000,0
"MWI",0,113,15263000,0
"MYS",0,584,NA,NA
"MDV",0,16,325694,0
"MLI",0,594,13010000,0
"MLT",0,28,NA,NA
"MHL",0,0,NA,NA
"MRT",0,33426,3291000,1.02
"MUS",0,80,1288000,0.01
"MEX",0,3304,NA,NA
"FSM",0,0,NA,NA
"MDA",0,11680,NA,NA
"MCO",0,0,NA,NA
"MNG",0,867,NA,NA
"MNE",16196,135,NA,NA
"MSR",0,0,NA,NA
"MAR",0,4710,34859364,0.01
"MOZ",0,231,22894000,0
"MMR",58500,202802,48137741,0.54
"CYN",0,0,NA,NA
"PRK",0,398,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1202,2171000,0.06
"NRU",0,3,NA,NA
"NPL",1e+05,2636,28563377,0.36
"NLD",0,39,NA,NA
"NCL",0,0,NA,NA
"NZL",0,8,NA,NA
"NIC",0,1828,NA,NA
"NER",0,818,15290000,0.01
"NGA",0,13250,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,4,NA,NA
"OMN",0,38,2802768,0
"PAK",0,25620,173149306,0.01
"PLW",0,0,NA,NA
"PAN",0,75,NA,NA
"PNG",0,31,NA,NA
"PRY",0,105,NA,NA
"PER",0,6986,NA,NA
"PHL",0,886,NA,NA
"PCN",0,0,NA,NA
"POL",0,13513,NA,NA
"PRT",0,25,NA,NA
"PRI",0,0,NA,NA
"QAT",0,52,1749713,0
"ROU",0,7234,NA,NA
"RUS",158905,159379,NA,NA
"RWA",0,92959,9998000,0.93
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,163,NA,NA
"WSM",0,3,NA,NA
"SMR",0,2,NA,NA
"STP",0,32,212679,0.02
"SAU",0,617,28686633,0
"SEN",0,7709,12534000,0.06
"SRB",227590,174027,NA,NA
"SYC",0,61,87476,0.07
"SLE",0,42556,5696000,0.75
"SGP",0,111,NA,NA
"SXM",0,0,NA,NA
"SVK",0,741,NA,NA
"SVN",0,1760,NA,NA
"SLB",0,0,NA,NA
"SOM",4e+05,461646,9832017,8.76
"SOL",0,0,NA,NA
"ZAF",0,510,49320500,0
"ESP",0,2444,NA,NA
"LKA",469165,116950,20758779,2.82
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1325235,686301,35652002,5.64
"SUR",0,66,NA,NA
"SWZ",0,22,1185000,0
"SWE",0,16,NA,NA
"CHE",0,36,NA,NA
"SYR",0,12338,21532647,0.06
"TWN",0,0,NA,NA
"TJK",0,645,NA,NA
"TZA",0,0,43739000,0
"THA",0,3325,66402316,0.01
"TGO",0,27330,6619000,0.41
"TON",0,6,NA,NA
"TTO",0,153,NA,NA
"TUN",0,2844,NA,NA
"TUR",0,227232,72137546,0.31
"TKM",0,692,NA,NA
"TCA",0,0,NA,NA
"TUV",0,3,NA,NA
"VIR",0,0,NA,NA
"UGA",1586174,21749,32710000,4.92
"UKR",0,63723,46050220,0.14
"ARE",0,265,8441537,0
"GBR",0,174,NA,NA
"USA",0,1356,NA,NA
"URY",0,164,NA,NA
"UZB",0,9101,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,3828,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",0,1362,23822783,0.01
"ZMB",0,204,12935000,0
"ZWE",0,12781,12523000,0.1
