"idp","refugee","pop","perc.moving"
"AFG",129310,2107517,28397812,7.88
"ALA",0,0,NA,NA
"ALB",0,14079,NA,NA
"DZA",0,8343,34895000,0.02
"ASM",0,0,NA,NA
"AND",0,10,NA,NA
"AGO",0,206501,18498000,1.12
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,894,NA,NA
"ARM",0,14917,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,29,NA,NA
"AUT",0,34,NA,NA
"AZE",686586,126068,NA,NA
"BHS",0,14,NA,NA
"BHR",0,62,1251513,0
"BGD",0,7788,156050883,0
"BRB",0,28,NA,NA
"BLR",0,9371,NA,NA
"BEL",0,64,NA,NA
"BLZ",0,18,NA,NA
"BEN",0,215,8935000,0
"BMU",0,0,NA,NA
"BTN",0,108073,716939,15.07
"BOL",0,374,NA,NA
"BIH",135500,199942,NA,NA
"BWA",0,11,1950000,0
"IOT",0,0,NA,NA
"BRA",0,707,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,3438,NA,NA
"BFA",0,377,15757000,0
"BDI",13850,43893,8303000,0.7
"KHM",0,15608,NA,NA
"CMR",0,10380,19522000,0.05
"CAN",0,95,NA,NA
"CPV",0,40,506000,0.01
"CYM",0,0,NA,NA
"CAF",147000,71685,4422000,4.95
"TCD",112686,36292,11206000,1.33
"CHL",0,805,NA,NA
"CHN",0,140590,NA,NA
"COL",3e+06,72796,NA,NA
"COM",0,72,676000,0.01
"COG",3492,20596,3683000,0.65
"COD",1075297,273915,66020000,2.04
"COK",0,0,NA,NA
"CRI",0,284,NA,NA
"HRV",3975,93767,NA,NA
"CUB",0,33580,NA,NA
"CUW",0,0,NA,NA
"CYP",0,5,NA,NA
"CZE",0,2138,NA,NA
"DNK",0,12,NA,NA
"DJI",0,485,516055,0.09
"DMA",0,49,NA,NA
"DOM",0,150,NA,NA
"TLS",0,0,1079450,0
"ECU",0,887,NA,NA
"EGY",0,7613,83082869,0.01
"SLV",0,6388,NA,NA
"GNQ",0,0,676000,0
"ERI",0,193724,5073000,3.82
"EST",0,627,NA,NA
"ETH",0,74008,79221000,0.09
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1686,NA,NA
"FIN",0,6,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,82,NA,NA
"GUF",0,0,NA,NA
"GAB",0,95,1475000,0.01
"GMB",0,1254,1705000,0.07
"Gaza",0,0,NA,NA
"GEO",245980,6340,NA,NA
"DEU",0,114,NA,NA
"GHA",0,9959,23837000,0.04
