"idp","refugee","pop","perc.moving"
"AFG",683301,2659575,28397812,11.77
"ALA",0,0,NA,NA
"ALB",0,0,NA,NA
"DZA",0,0,34895000,0
"ASM",0,0,NA,NA
"AND",0,0,NA,NA
"AGO",0,0,18498000,0
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,0,NA,NA
"ARM",0,0,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,0,NA,NA
"AUT",0,0,NA,NA
"AZE",606362,0,NA,NA
"BHS",0,0,NA,NA
"BHR",0,0,1251513,0
"BGD",0,0,156050883,0
"BRB",0,0,NA,NA
"BLR",0,0,NA,NA
"BEL",0,0,NA,NA
"BLZ",0,0,NA,NA
"BEN",0,0,8935000,0
"BMU",0,0,NA,NA
"BTN",0,26117,716939,3.64
"BOL",0,0,NA,NA
"BIH",84500,11325,NA,NA
"BWA",0,0,1950000,0
"IOT",0,0,NA,NA
"BRA",0,0,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,0,NA,NA
"BFA",0,0,15757000,0
"BDI",78948,20728,8303000,1.2
"KHM",0,12482,NA,NA
"CMR",0,0,19522000,0
"CAN",0,0,NA,NA
"CPV",0,0,506000,0
"CYM",0,0,NA,NA
"CAF",0,0,4422000,0
"TCD",0,42062,11206000,0.38
"CHL",0,0,NA,NA
"CHN",0,124359,NA,NA
"COL",5700381,172217,NA,NA
"COM",0,0,676000,0
"COG",0,0,3683000,0
"COD",0,408496,66020000,0.62
"COK",0,0,NA,NA
"CRI",0,0,NA,NA
"HRV",0,39115,NA,NA
"CUB",0,0,NA,NA
"CUW",0,0,NA,NA
"CYP",0,0,NA,NA
"CZE",0,0,NA,NA
"DNK",0,0,NA,NA
"DJI",0,0,516055,0
"DMA",0,0,NA,NA
"DOM",0,0,NA,NA
"TLS",0,0,1079450,0
"ECU",0,0,NA,NA
"EGY",0,0,83082869,0
"SLV",0,0,NA,NA
"GNQ",0,0,676000,0
"ERI",0,295425,5073000,5.82
"EST",0,0,NA,NA
"ETH",0,39912,79221000,0.05
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,0,NA,NA
"FIN",0,0,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,0,NA,NA
"GUF",0,0,NA,NA
"GAB",0,0,1475000,0
"GMB",0,0,1705000,0
"Gaza",0,0,NA,NA
"GEO",257022,0,NA,NA
"DEU",0,0,NA,NA
