"idp","refugee","pop","perc.moving"
"AFG",297129,2887119,28397812,11.21
"ALA",0,0,NA,NA
"ALB",0,15711,NA,NA
"DZA",0,8175,34895000,0.02
"ASM",0,0,NA,NA
"AND",0,6,NA,NA
"AGO",0,141021,18498000,0.76
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,608,NA,NA
"ARM",0,18000,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,28,NA,NA
"AUT",0,12,NA,NA
"AZE",586013,16939,NA,NA
"BHS",0,15,NA,NA
"BHR",0,79,1251513,0.01
"BGD",0,10392,156050883,0.01
"BRB",0,29,NA,NA
"BLR",0,5525,NA,NA
"BEL",0,71,NA,NA
"BLZ",0,17,NA,NA
"BEN",0,411,8935000,0
"BMU",0,0,NA,NA
"BTN",0,89070,716939,12.42
"BOL",0,573,NA,NA
"BIH",113642,70018,NA,NA
"BWA",0,30,1950000,0
"IOT",0,0,NA,NA
"BRA",0,973,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,2745,NA,NA
"BFA",0,990,15757000,0.01
"BDI",1e+05,40409,8303000,1.69
"KHM",0,14668,NA,NA
"CMR",0,14760,19522000,0.08
"CAN",0,99,NA,NA
"CPV",0,24,506000,0
"CYM",0,0,NA,NA
"CAF",197000,159553,4422000,8.06
"TCD",170531,54993,11206000,2.01
"CHL",0,1312,NA,NA
"CHN",0,180544,NA,NA
"COL",3303979,389753,NA,NA
"COM",0,268,676000,0.04
"COG",0,20535,3683000,0.56
"COD",2052677,392512,66020000,3.7
"COK",0,0,NA,NA
"CRI",0,344,NA,NA
"HRV",2285,76478,NA,NA
"CUB",0,7548,NA,NA
"CUW",0,0,NA,NA
"CYP",0,11,NA,NA
"CZE",0,1067,NA,NA
"DNK",0,10,NA,NA
"DJI",0,622,516055,0.12
"DMA",0,53,NA,NA
"DOM",0,230,NA,NA
"TLS",0,0,1079450,0
"ECU",0,1027,NA,NA
"EGY",0,6987,83082869,0.01
"SLV",0,5051,NA,NA
"GNQ",0,0,676000,0
"ERI",0,208542,5073000,4.11
"EST",0,248,NA,NA
"ETH",0,62825,79221000,0.08
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1892,NA,NA
"FIN",0,6,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,87,NA,NA
"GUF",0,0,NA,NA
"GAB",0,144,1475000,0.01
"GMB",0,1973,1705000,0.12
"Gaza",0,0,NA,NA
"GEO",352640,15020,NA,NA
"DEU",0,170,NA,NA
"GHA",0,14890,23837000,0.06
"GRC",0,62,NA,NA
"GRL",0,0,NA,NA
"GRD",0,333,NA,NA
"GUM",0,0,NA,NA
"GTM",0,5768,NA,NA
"GGY",0,0,NA,NA
"GIN",0,10918,10069000,0.11
"GNB",0,0,1611000,0
"GUY",0,727,NA,NA
"HTI",0,24115,NA,NA
"HMD",0,0,NA,NA
"HND",0,1166,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1537,NA,NA
"ISL",0,4,NA,NA
"IND",0,19514,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,18213,240271522,0.01
"IRN",0,72761,74462314,0.1
"IRQ",1552003,1782430,30962380,10.77
"IRL",0,7,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1310,NA,NA
"ITA",0,45,NA,NA
"CIV",519140,23063,21075000,2.57
"JAM",0,909,NA,NA
"JPN",0,150,NA,NA
"JEY",0,0,NA,NA
"JOR",0,2129,6454554,0.03
"KAZ",0,3744,NA,NA
"KEN",399000,9619,39802000,1.03
"KIR",0,33,NA,NA
"KOS",0,0,NA,NA
"KWT",0,938,2991580,0.03
"KGZ",0,2612,NA,NA
"LAO",0,0,NA,NA
"LVA",0,791,NA,NA
"LBN",0,16260,4341092,0.37
"LSO",0,10,2067000,0
"LBR",0,71348,3476608,2.05
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,501,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7926,NA,NA
"MDG",0,274,19625000,0
"MWI",0,130,15263000,0
"MYS",0,532,NA,NA
"MDV",0,16,325694,0
"MLI",0,2926,13010000,0.02
"MLT",0,9,NA,NA
"MHL",0,0,NA,NA
"MRT",0,39142,3291000,1.19
"MUS",0,23,1288000,0
"MEX",0,6435,NA,NA
"FSM",0,0,NA,NA
"MDA",0,5925,NA,NA
"MCO",0,1,NA,NA
"MNG",0,1495,NA,NA
"MNE",0,2582,NA,NA
"MSR",0,0,NA,NA
"MAR",0,2286,34859364,0.01
"MOZ",0,136,22894000,0
"MMR",67290,406567,48137741,0.98
"CYN",0,0,NA,NA
"PRK",0,881,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,921,2171000,0.04
"NRU",0,0,NA,NA
"NPL",0,5097,28563377,0.02
"NLD",0,44,NA,NA
"NCL",0,0,NA,NA
"NZL",0,10,NA,NA
"NIC",0,1478,NA,NA
"NER",0,822,15290000,0.01
"NGA",0,15603,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,4,NA,NA
"OMN",0,64,2802768,0
"PAK",1894557,35107,173149306,1.11
"PLW",0,0,NA,NA
"PAN",0,105,NA,NA
"PNG",0,70,NA,NA
"PRY",0,77,NA,NA
"PER",0,6271,NA,NA
"PHL",0,993,NA,NA
"PCN",0,0,NA,NA
"POL",0,2059,NA,NA
"PRT",0,31,NA,NA
"PRI",0,0,NA,NA
"QAT",0,68,1749713,0
"ROU",0,4358,NA,NA
"RUS",79950,109452,NA,NA
"RWA",0,129107,9998000,1.29
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,314,NA,NA
"WSM",0,0,NA,NA
"SMR",0,1,NA,NA
"STP",0,33,212679,0.02
"SAU",0,633,28686633,0
"SEN",0,8813,12534000,0.07
"SRB",224881,195626,NA,NA
"SYC",0,49,87476,0.06
"SLE",0,15205,5696000,0.27
"SGP",0,80,NA,NA
"SXM",0,0,NA,NA
"SVK",0,334,NA,NA
"SVN",0,39,NA,NA
"SLB",0,0,NA,NA
"SOM",1550000,676205,9832017,22.64
"SOL",0,0,NA,NA
"ZAF",0,384,49320500,0
"ESP",0,34,NA,NA
"LKA",434900,145701,20758779,2.8
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1034140,367276,35652002,3.93
"SUR",0,45,NA,NA
"SWZ",0,32,1185000,0
"SWE",0,19,NA,NA
"CHE",0,18,NA,NA
"SYR",0,17914,21532647,0.08
"TWN",0,0,NA,NA
"TJK",0,562,NA,NA
"TZA",0,0,43739000,0
"THA",0,502,66402316,0
"TGO",0,18376,6619000,0.28
"TON",0,5,NA,NA
"TTO",0,240,NA,NA
"TUN",0,2260,NA,NA
"TUR",0,146387,72137546,0.2
"TKM",0,742,NA,NA
"TCA",0,0,NA,NA
"TUV",0,0,NA,NA
"VIR",0,0,NA,NA
"UGA",446300,7542,32710000,1.39
"UKR",0,24522,46050220,0.05
"ARE",0,414,8441537,0
"GBR",0,156,NA,NA
"USA",0,2368,NA,NA
"URY",0,188,NA,NA
"UZB",0,6667,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,6221,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",250000,1934,23822783,1.06
"ZMB",0,206,12935000,0
"ZWE",0,22449,12523000,0.18
