"idp","refugee","pop","perc.moving"
"AFG",153718,3057659,28397812,11.31
"ALA",0,0,NA,NA
"ALB",0,15340,NA,NA
"DZA",0,10605,34895000,0.03
"ASM",0,0,NA,NA
"AND",0,9,NA,NA
"AGO",0,186155,18498000,1.01
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,1171,NA,NA
"ARM",0,15436,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,63,NA,NA
"AUT",0,23,NA,NA
"AZE",686586,15916,NA,NA
"BHS",0,14,NA,NA
"BHR",0,73,1251513,0.01
"BGD",0,10224,156050883,0.01
"BRB",0,38,NA,NA
"BLR",0,4970,NA,NA
"BEL",0,60,NA,NA
"BLZ",0,17,NA,NA
"BEN",0,271,8935000,0
"BMU",0,0,NA,NA
"BTN",0,110598,716939,15.43
"BOL",0,428,NA,NA
"BIH",130984,78269,NA,NA
"BWA",0,16,1950000,0
"IOT",0,0,NA,NA
"BRA",0,1624,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,3311,NA,NA
"BFA",0,558,15757000,0
"BDI",0,39430,8303000,0.47
"KHM",0,15347,NA,NA
"CMR",0,11503,19522000,0.06
"CAN",0,530,NA,NA
"CPV",0,32,506000,0.01
"CYM",0,0,NA,NA
"CAF",197000,98104,4422000,6.67
"TCD",178918,55714,11206000,2.09
"CHL",0,970,NA,NA
"CHN",0,149087,NA,NA
"COL",3e+06,551744,NA,NA
"COM",0,96,676000,0.01
"COG",0,19722,3683000,0.54
"COD",1317879,273256,66020000,2.41
"COK",0,0,NA,NA
"CRI",0,361,NA,NA
"HRV",2873,100423,NA,NA
"CUB",0,7503,NA,NA
"CUW",0,0,NA,NA
"CYP",0,9,NA,NA
"CZE",0,1384,NA,NA
"DNK",0,14,NA,NA
"DJI",0,648,516055,0.13
"DMA",0,58,NA,NA
"DOM",0,358,NA,NA
"TLS",0,0,1079450,0
"ECU",0,1332,NA,NA
"EGY",0,6799,83082869,0.01
"SLV",0,6022,NA,NA
"GNQ",0,0,676000,0
"ERI",0,208672,5073000,4.11
"EST",0,262,NA,NA
"ETH",0,59827,79221000,0.08
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1828,NA,NA
"FIN",0,4,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,101,NA,NA
"GUF",0,0,NA,NA
"GAB",0,116,1475000,0.01
"GMB",0,1267,1705000,0.07
"Gaza",0,0,NA,NA
"GEO",273193,11810,NA,NA
"DEU",0,129,NA,NA
"GHA",0,5061,23837000,0.02
"GRC",0,92,NA,NA
"GRL",0,0,NA,NA
"GRD",0,297,NA,NA
"GUM",0,0,NA,NA
"GTM",0,6161,NA,NA
"GGY",0,0,NA,NA
"GIN",0,8276,10069000,0.08
"GNB",0,0,1611000,0
"GUY",0,677,NA,NA
"HTI",0,22280,NA,NA
"HMD",0,0,NA,NA
"HND",0,1236,NA,NA
"HKG",0,0,NA,NA
"HUN",0,3386,NA,NA
"ISL",0,7,NA,NA
"IND",0,20466,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,20558,240271522,0.01
"IRN",0,68390,74462314,0.09
"IRQ",2385865,2308187,30962380,15.16
"IRL",0,10,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1541,NA,NA
"ITA",0,90,NA,NA
"CIV",709048,22151,21075000,3.47
"JAM",0,766,NA,NA
"JPN",0,521,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1786,6454554,0.03
"KAZ",0,5235,NA,NA
"KEN",0,7545,39802000,0.02
"KIR",0,38,NA,NA
"KOS",0,0,NA,NA
"KWT",0,746,2991580,0.02
"KGZ",0,2254,NA,NA
"LAO",0,0,NA,NA
"LVA",0,662,NA,NA
"LBN",70000,13094,4341092,1.91
"LSO",0,7,2067000,0
"LBR",0,91298,3476608,2.63
"LBY",0,0,6310434,0
"LIE",0,0,NA,NA
"LTU",0,466,NA,NA
"LUX",0,2,NA,NA
"MAC",0,0,NA,NA
"MKD",0,8077,NA,NA
"MDG",0,284,19625000,0
"MWI",0,97,15263000,0
"MYS",0,615,NA,NA
"MDV",0,17,325694,0.01
"MLI",0,4494,13010000,0.03
"MLT",0,9,NA,NA
"MHL",0,0,NA,NA
"MRT",0,33106,3291000,1.01
"MUS",0,71,1288000,0.01
"MEX",0,5572,NA,NA
"FSM",0,0,NA,NA
"MDA",0,4918,NA,NA
"MCO",0,0,NA,NA
"MNG",0,1101,NA,NA
"MNE",16155,557,NA,NA
"MSR",0,0,NA,NA
"MAR",0,4039,34859364,0.01
"MOZ",0,222,22894000,0
"MMR",67290,191280,48137741,0.54
"CYN",0,0,NA,NA
"PRK",0,605,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1128,2171000,0.05
"NRU",0,3,NA,NA
"NPL",50000,3358,28563377,0.19
"NLD",0,43,NA,NA
"NCL",0,0,NA,NA
"NZL",0,13,NA,NA
"NIC",0,1900,NA,NA
"NER",0,827,15290000,0.01
"NGA",0,13898,154729000,0.01
"NIU",0,0,NA,NA
"NFK",0,0,NA,NA
"NOR",0,3,NA,NA
"OMN",0,43,2802768,0
"PAK",0,31842,173149306,0.02
"PLW",0,1,NA,NA
"PAN",0,109,NA,NA
"PNG",0,36,NA,NA
"PRY",0,102,NA,NA
"PER",0,7743,NA,NA
"PHL",0,1552,NA,NA
"PCN",0,0,NA,NA
"POL",0,2915,NA,NA
"PRT",0,32,NA,NA
"PRI",0,0,NA,NA
"QAT",0,62,1749713,0
"ROU",0,5306,NA,NA
"RUS",189274,93221,NA,NA
"RWA",0,80957,9998000,0.81
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",0,0,9940929,0
"SHN",0,0,NA,NA
"LCA",0,227,NA,NA
"WSM",0,2,NA,NA
"SMR",0,2,NA,NA
"STP",0,33,212679,0.02
"SAU",0,753,28686633,0
"SEN",0,8408,12534000,0.07
"SRB",226350,165643,NA,NA
"SYC",0,55,87476,0.06
"SLE",0,31831,5696000,0.56
"SGP",0,116,NA,NA
"SXM",0,0,NA,NA
"SVK",0,342,NA,NA
"SVN",0,52,NA,NA
"SLB",0,0,NA,NA
"SOM",1e+06,454762,9832017,14.8
"SOL",0,0,NA,NA
"ZAF",0,474,49320500,0
"ESP",0,41,NA,NA
"LKA",459567,134933,20758779,2.86
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1250000,522851,35652002,4.97
"SUR",0,63,NA,NA
"SWZ",0,25,1185000,0
"SWE",0,16,NA,NA
"CHE",0,31,NA,NA
"SYR",0,13688,21532647,0.06
"TWN",0,0,NA,NA
"TJK",0,894,NA,NA
"TZA",0,0,43739000,0
"THA",0,2325,66402316,0
"TGO",0,22501,6619000,0.34
"TON",0,5,NA,NA
"TTO",0,211,NA,NA
"TUN",0,2505,NA,NA
"TUR",0,221939,72137546,0.31
"TKM",0,677,NA,NA
"TCA",0,0,NA,NA
"TUV",0,2,NA,NA
"VIR",0,0,NA,NA
"UGA",1235992,21338,32710000,3.84
"UKR",0,25985,46050220,0.06
"ARE",0,308,8441537,0
"GBR",0,201,NA,NA
"USA",0,2174,NA,NA
"URY",0,197,NA,NA
"UZB",0,5663,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,5094,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",77000,1632,23822783,0.33
"ZMB",0,196,12935000,0
"ZWE",0,14374,12523000,0.11
