"idp","refugee","pop","perc.moving"
"AFG",631286,2556512,28397812,11.23
"ALA",0,0,NA,NA
"ALB",0,10070,NA,NA
"DZA",0,3621,34895000,0.01
"ASM",0,0,NA,NA
"AND",0,0,NA,NA
"AGO",0,10260,18498000,0.06
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,376,NA,NA
"ARM",0,11988,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,22,NA,NA
"AUT",0,5,NA,NA
"AZE",609029,10797,NA,NA
"BHS",0,208,NA,NA
"BHR",0,264,1251513,0.02
"BGD",0,9736,156050883,0.01
"BRB",0,63,NA,NA
"BLR",0,4420,NA,NA
"BEL",0,76,NA,NA
"BLZ",0,37,NA,NA
"BEN",0,297,8935000,0
"BMU",0,0,NA,NA
"BTN",0,31546,716939,4.4
"BOL",0,589,NA,NA
"BIH",84500,26796,NA,NA
"BWA",0,165,1950000,0.01
"IOT",0,0,NA,NA
"BRA",0,973,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,1865,NA,NA
"BFA",0,1662,15757000,0.01
"BDI",78948,37427,8303000,1.4
"KHM",0,13733,NA,NA
"CMR",0,11393,19522000,0.06
"CAN",0,94,NA,NA
"CPV",0,17,506000,0
"CYM",0,0,NA,NA
"CAF",894421,252829,4422000,25.94
"TCD",19791,48592,11206000,0.61
"CHL",0,583,NA,NA
"CHN",0,195082,NA,NA
"COL",5368138,396608,NA,NA
"COM",0,499,676000,0.07
"COG",0,11696,3683000,0.32
"COD",2963799,434878,66020000,5.15
"COK",0,0,NA,NA
"CRI",0,453,NA,NA
"HRV",0,49749,NA,NA
"CUB",0,7396,NA,NA
"CUW",0,0,NA,NA
"CYP",0,0,NA,NA
"CZE",0,979,NA,NA
"DNK",0,6,NA,NA
"DJI",0,742,516055,0.14
"DMA",0,41,NA,NA
"DOM",0,288,NA,NA
"TLS",0,0,1079450,0
"ECU",0,676,NA,NA
"EGY",0,12784,83082869,0.02
"SLV",0,9617,NA,NA
"GNQ",0,0,676000,0
"ERI",0,307966,5073000,6.07
"EST",0,344,NA,NA
"ETH",0,77020,79221000,0.1
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1109,NA,NA
"FIN",0,5,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,87,NA,NA
"GUF",0,0,NA,NA
"GAB",0,166,1475000,0.01
"GMB",0,3394,1705000,0.2
"Gaza",0,0,NA,NA
"GEO",257611,6740,NA,NA
"DEU",0,164,NA,NA
"GHA",0,21327,23837000,0.09
"GRC",0,88,NA,NA
"GRL",0,0,NA,NA
"GRD",0,330,NA,NA
"GUM",0,0,NA,NA
"GTM",0,6595,NA,NA
"GGY",0,0,NA,NA
"GIN",0,14542,10069000,0.14
"GNB",0,0,1611000,0
"GUY",0,800,NA,NA
"HTI",0,38640,NA,NA
"HMD",0,0,NA,NA
"HND",0,3289,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1208,NA,NA
"ISL",0,0,NA,NA
"IND",0,10998,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,14775,240271522,0.01
"IRN",0,74985,74462314,0.1
"IRQ",954128,401356,30962380,4.38
"IRL",0,7,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1021,NA,NA
"ITA",0,59,NA,NA
"CIV",24000,85617,21075000,0.52
"JAM",0,1484,NA,NA
"JPN",0,154,NA,NA
"JEY",0,0,NA,NA
"JOR",0,1602,6454554,0.02
"KAZ",0,2113,NA,NA
"KEN",0,8558,39802000,0.02
"KIR",0,16,NA,NA
"KOS",0,0,NA,NA
"KWT",0,956,2991580,0.03
"KGZ",0,2291,NA,NA
"LAO",0,0,NA,NA
"LVA",0,223,NA,NA
"LBN",0,3805,4341092,0.09
"LSO",0,10,2067000,0
"LBR",0,17504,3476608,0.5
"LBY",53579,3284,6310434,0.9
"LIE",0,0,NA,NA
"LTU",0,212,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,1608,NA,NA
"MDG",0,278,19625000,0
"MWI",0,313,15263000,0
"MYS",0,478,NA,NA
"MDV",0,20,325694,0.01
"MLI",254822,152828,13010000,3.13
"MLT",0,0,NA,NA
"MHL",0,0,NA,NA
"MRT",0,34225,3291000,1.04
"MUS",0,72,1288000,0.01
"MEX",0,9376,NA,NA
"FSM",0,0,NA,NA
"MDA",0,2185,NA,NA
"MCO",0,0,NA,NA
"MNG",0,2050,NA,NA
"MNE",0,589,NA,NA
"MSR",0,0,NA,NA
"MAR",0,1291,34859364,0
"MOZ",0,46,22894000,0
"MMR",372000,479416,48137741,1.77
"CYN",0,0,NA,NA
"PRK",0,1159,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
"NAM",0,1133,2171000,0.05
"NRU",0,0,NA,NA
"NPL",0,8086,28563377,0.03
"NLD",0,59,NA,NA
"NCL",0,0,NA,NA
"NZL",0,10,NA,NA
"NIC",0,1525,NA,NA
"NER",0,710,15290000,0
"NGA",0,31607,154729000,0.02
"NIU",0,14,NA,NA
"NFK",0,0,NA,NA
"NOR",0,5,NA,NA
"OMN",0,20,2802768,0
"PAK",747498,48787,173149306,0.46
"PLW",0,0,NA,NA
"PAN",0,99,NA,NA
"PNG",0,219,NA,NA
"PRY",0,86,NA,NA
"PER",0,4747,NA,NA
"PHL",117369,708,NA,NA
"PCN",0,0,NA,NA
"POL",0,1413,NA,NA
"PRT",0,27,NA,NA
"PRI",0,0,NA,NA
"QAT",0,15,1749713,0
"ROU",0,2310,NA,NA
"RUS",0,74318,NA,NA
"RWA",0,83894,9998000,0.84
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",331097,114451,9940929,4.48
"SHN",0,0,NA,NA
"LCA",0,706,NA,NA
"WSM",0,0,NA,NA
"SMR",0,0,NA,NA
"STP",0,31,212679,0.01
"SAU",0,555,28686633,0
"SEN",0,11417,12534000,0.09
"SRB",227495,48668,NA,NA
"SYC",0,24,87476,0.03
"SLE",0,5257,5696000,0.09
"SGP",0,61,NA,NA
"SXM",0,0,NA,NA
"SVK",0,316,NA,NA
"SVN",0,27,NA,NA
"SLB",0,0,NA,NA
"SOM",1133000,1119534,9832017,22.91
"SOL",0,0,NA,NA
"ZAF",0,389,49320500,0
"ESP",0,46,NA,NA
"LKA",42191,123020,20758779,0.8
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1873300,649279,35652002,7.08
"SUR",0,17,NA,NA
"SWZ",0,98,1185000,0.01
"SWE",0,8,NA,NA
"CHE",0,11,NA,NA
"SYR",6520800,2468341,21532647,41.75
"TWN",0,0,NA,NA
"TJK",0,637,NA,NA
"TZA",0,0,43739000,0
"THA",0,218,66402316,0
"TGO",0,10298,6619000,0.16
"TON",0,16,NA,NA
"TTO",0,336,NA,NA
"TUN",0,1342,NA,NA
"TUR",0,66575,72137546,0.09
"TKM",0,495,NA,NA
"TCA",0,0,NA,NA
"TUV",0,0,NA,NA
"VIR",0,0,NA,NA
"UGA",0,8102,32710000,0.02
"UKR",0,5158,46050220,0.01
"ARE",0,79,8441537,0
"GBR",0,135,NA,NA
"USA",0,4740,NA,NA
"URY",0,139,NA,NA
"UZB",0,4924,NA,NA
"VUT",0,0,NA,NA
"VAT",0,0,NA,NA
"VEN",0,8376,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",306614,2376,23822783,1.3
"ZMB",0,220,12935000,0
"ZWE",60139,19641,12523000,0.64
