Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
45,Congo (Kinshasa),COD,RDC,Congo,Zaire,democratic republic of the congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Congo
47,Cook Is.,COK,XXX,Cook Is.,XXX,Cook Is.,Cook Is.,Cook Is.,Cook Is.,Cook Is.,Cook Is.
51,Costa Rica,CRI,XXX,Costa Rica,XXX,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
95,Croatia,HRV,XXX,Croatia,XXX,Croatia,Croatia,Croatia,Croatia,Croatia,Croatia
52,Cuba,CUB,XXX,Cuba,XXX,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
53,Curacao,CUW,XXX,Curacao,XXX,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao
56,Cyprus,CYP,XXX,Cyprus,XXX,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus
57,Czech Rep.,CZE,XXX,Czech Rep.,XXX,Czech Rep.,Czech Rep.,Czech Republic,Czech Rep.,Czech Republic,Czech Rep.
61,Denmark,DNK,XXX,Denmark,XXX,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
59,Djibouti,DJI,DJI,Djibouti,Djibouti,Djibouti,Djibouti,Djibouti,Djibouti,Djibouti,Djibouti
60,Dominica,DMA,XXX,Dominica,XXX,Dominica,Dominica,Dominica,Dominica,Dominica,Dominica
62,Dominican Rep.,DOM,XXX,Dominican Rep.,XXX,Dominican Rep.,Dominican Rep.,Dominican Republic,Dominican Rep.,Dominican Republic,Dominican Rep.
217,East Timor,TLS,TLS,East Timor,timor-leste,TIMOR-LESTE,East Timor,East Timor,Timor-Leste,Timor-Leste,Timor Leste
64,Ecuador,ECU,XXX,Ecuador,XXX,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
65,Egypt,EGY,EGY,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt,Egypt
196,El Salvador,SLV,XXX,El Salvador,XXX,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
85,Eq. Guinea,GNQ,EQG,equatorial guinea,Equatorial Guinea,EQUATORIAL GUINEA,Equatorial Guinea,Eq. Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
66,Eritrea,ERI,ERI,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea
68,Estonia,EST,XXX,Estonia,XXX,Estonia,Estonia,Estonia,Estonia,Estonia,Estonia
69,Ethiopia,ETH,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia
72,Falkland Is.,FLK,XXX,Falkland Is.,XXX,Falkland Is.,Falkland Is.,Falkland Is.,Falkland Is.,Falkland Is.,Falkland Is.
74,Faroe Is.,FRO,XXX,Faroe Is.,XXX,Faroe Is.,Faroe Is.,Faroe Is.,Faroe Is.,Faroe Is.,Faroe Is.
71,Fiji,FJI,XXX,Fiji,XXX,Fiji,Fiji,Fiji,Fiji,Fiji,Fiji
70,Finland,FIN,XXX,Finland,XXX,Finland,Finland,Finland,Finland,Finland,Finland
181,Fr. Polynesia,PYF,XXX,Fr. Polynesia,XXX,Fr. Polynesia,Fr. Polynesia,Fr. Polynesia,Fr. Polynesia,Fr. Polynesia,Fr. Polynesia
