Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
230,St. Vin. and Gren.,VCT,XXX,St. Vin. and Gren.,XXX,St. Vin. and Gren.,St. Vin. and Gren.,St. Vin. and Gren.,St. Vin. and Gren.,St. Vin. and Gren.,St. Vin. and Gren.
188,Sudan,SDN,SUD,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan
203,Suriname,SUR,XXX,Suriname,XXX,Suriname,Suriname,Suriname,Suriname,Suriname,Suriname
207,Swaziland,SWZ,SWZ,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland,Swaziland
206,Sweden,SWE,XXX,Sweden,XXX,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
40,Switzerland,CHE,XXX,Switzerland,XXX,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
210,Syria,SYR,SYR,SYRIAN ARAB REPUBLIC,syrian arab republic,syrian arab republic,Syria,Syrian Arab Republic,Syria,Syrian Arab Republic,Syrian Arab Republic
222,Taiwan,TWN,XXX,Taiwan,XXX,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
215,Tajikistan,TJK,XXX,Tajikistan,XXX,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan
223,Tanzania,TZA,TAN,Tanzania,"Tanzania, United Republic of",UNITED REPUBLIC OF TANZANIA,Tanzania,Tanzania,Tanzania,United Republic of Tanzania,United Republic of Tanzania
214,Thailand,THA,THA,Thailand,thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
213,Togo,TGO,TOG,Togo,XXX,Togo,Togo,Togo,Togo,Togo,Togo
218,Tonga,TON,TON,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga
219,Trinidad and Tobago,TTO,XXX,Trinidad and Tobago,XXX,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
220,Tunisia,TUN,TUN,Tunisia,XXX,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia
221,Turkey,TUR,TUK,Turkey,turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
216,Turkmenistan,TKM,XXX,Turkmenistan,XXX,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
211,Turks and Caicos Is.,TCA,XXX,Turks and Caicos Is.,XXX,Turks and Caicos Is.,Turks and Caicos Is.,Turks and Caicos Is.,Turks and Caicos Is.,Turks and Caicos Is.,Turks and Caicos Is.
243,Tuvalu,TUV,XXX,Tuvalu,XXX,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
233,U.S. Virgin Is.,VIR,XXX,U.S. Virgin Is.,XXX,U.S. Virgin Is.,U.S. Virgin Is.,U.S. Virgin Is.,U.S. Virgin Is.,U.S. Virgin Is.,U.S. Virgin Is.
224,Uganda,UGA,UGA,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
225,Ukraine,UKR,UKR,Ukraine,ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
8,United Arab Emirates,ARE,UAE,United Arab Emirates,united arab emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
78,United Kingdom,GBR,XXX,United Kingdom,XXX,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
227,United States,USA,XXX,United States,XXX,United States,United States,United States,United States,United States,United States
226,Uruguay,URY,XXX,Uruguay,XXX,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
228,Uzbekistan,UZB,XXX,Uzbekistan,XXX,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
235,Vanuatu,VUT,XXX,Vanuatu,XXX,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
229,Vatican,VAT,XXX,Vatican,XXX,Vatican,Vatican,Vatican,Vatican,Vatican,Vatican
231,Venezuela,VEN,XXX,Venezuela,XXX,Venezuela,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Bolivarian Republic of Venezuela,Venezuela
234,Vietnam,VNM,XXX,Vietnam,XXX,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
186,W. Sahara,ESH,XXX,W. Sahara,XXX,W. Sahara,W. Sahara,W. Sahara,W. Sahara,W. Sahara,W. Sahara
237,Wallis and Futuna,WLF,XXX,Wallis and Futuna,XXX,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna
236,West Bank,PSE,PSE,West Bank,west bank and gaza strip,WEST BANK AND GAZA STRIP,West Bank,West Bank,Palestine,State of Palestine,West Bank and Gaza
239,Yemen,YEM,YEM,Yemen,yemen,Yemen,Yemen,Yemen,Yemen,Yemen,Yemen
241,Zambia,ZMB,ZAM,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia
242,Zimbabwe,ZWE,ZIM,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
