"idp","refugee","pop","perc.moving"
"NAM",0,1098,2171000,0.05
"NRU",0,0,NA,NA
"NPL",0,7605,28563377,0.03
"NLD",0,71,NA,NA
"NCL",0,0,NA,NA
"NZL",0,20,NA,NA
"NIC",0,1531,NA,NA
"NER",0,831,15290000,0.01
"NGA",0,18015,154729000,0.01
"NIU",0,10,NA,NA
"NFK",0,0,NA,NA
"NOR",0,9,NA,NA
"OMN",0,65,2802768,0
"PAK",757996,49752,173149306,0.47
"PLW",0,0,NA,NA
"PAN",0,107,NA,NA
"PNG",0,174,NA,NA
"PRY",0,101,NA,NA
"PER",0,5212,NA,NA
"PHL",1159,985,NA,NA
"PCN",0,0,NA,NA
"POL",0,1640,NA,NA
"PRT",0,32,NA,NA
"PRI",0,0,NA,NA
"QAT",0,124,1749713,0.01
"ROU",0,2807,NA,NA
"RUS",0,110578,NA,NA
"RWA",0,97371,9998000,0.97
"SGS",0,0,NA,NA
"KOR",0,0,NA,NA
"SSD",345670,87009,9940929,4.35
"SHN",0,0,NA,NA
"LCA",0,566,NA,NA
"WSM",0,1,NA,NA
"SMR",0,1,NA,NA
"STP",0,32,212679,0.02
"SAU",0,818,28686633,0
"SEN",0,11024,12534000,0.09
"SRB",227821,158908,NA,NA
"SYC",0,29,87476,0.03
"SLE",0,6180,5696000,0.11
"SGP",0,68,NA,NA
"SXM",0,0,NA,NA
"SVK",0,239,NA,NA
"SVN",0,34,NA,NA
"SLB",0,0,NA,NA
"SOM",1132963,1134590,9832017,23.06
"SOL",0,0,NA,NA
"ZAF",0,420,49320500,0
"ESP",0,52,NA,NA
"LKA",93482,132697,20758779,1.09
"BLM",0,0,NA,NA
"KNA",0,0,NA,NA
"MAF",0,0,NA,NA
"SPM",0,0,NA,NA
"VCT",0,0,NA,NA
"SDN",1873300,568941,35652002,6.85
"SUR",0,15,NA,NA
"SWZ",0,65,1185000,0.01
"SWE",0,20,NA,NA
"CHE",0,17,NA,NA
"SYR",2016500,729022,21532647,12.75
"TWN",0,0,NA,NA
"TJK",0,674,NA,NA
"TZA",0,0,43739000,0
"THA",0,381,66402316,0
"TGO",0,15691,6619000,0.24
"TON",0,13,NA,NA
"TTO",0,333,NA,NA
"TUN",0,1935,NA,NA
"TUR",0,135372,72137546,0.19
"TKM",0,722,NA,NA
"TCA",0,0,NA,NA
"TUV",0,1,NA,NA
"VIR",0,0,NA,NA
"UGA",0,5586,32710000,0.02
"UKR",0,25256,46050220,0.05
"ARE",0,584,8441537,0.01
"GBR",0,152,NA,NA
"USA",0,4456,NA,NA
"URY",0,171,NA,NA
"UZB",0,11585,NA,NA
"VUT",0,1,NA,NA
"VAT",0,0,NA,NA
"VEN",0,8208,NA,NA
"VNM",0,0,NA,NA
"ESH",0,0,NA,NA
"WLF",0,0,NA,NA
"PSE",0,0,4012880,0
"YEM",385320,2593,23822783,1.63
"ZMB",0,243,12935000,0
"ZWE",57926,22101,12523000,0.64
