"idp","refugee","pop","perc.moving"
"AFG",486298,2586134,28397812,10.82
"ALA",0,0,NA,NA
"ALB",0,12568,NA,NA
"DZA",0,5673,34895000,0.02
"ASM",0,0,NA,NA
"AND",0,7,NA,NA
"AGO",0,19255,18498000,0.1
"AIA",0,0,NA,NA
"ATA",0,0,NA,NA
"ATG",0,0,NA,NA
"ARG",0,447,NA,NA
"ARM",0,15935,NA,NA
"ABW",0,0,NA,NA
"Ashm",0,0,NA,NA
"AUS",0,48,NA,NA
"AUT",0,12,NA,NA
"AZE",600336,15537,NA,NA
"BHS",0,196,NA,NA
"BHR",0,297,1251513,0.02
"BGD",0,10096,156050883,0.01
"BRB",0,55,NA,NA
"BLR",0,6191,NA,NA
"BEL",0,93,NA,NA
"BLZ",0,39,NA,NA
"BEN",0,457,8935000,0.01
"BMU",0,0,NA,NA
"BTN",0,41590,716939,5.8
"BOL",0,618,NA,NA
"BIH",103449,51822,NA,NA
"BWA",0,127,1950000,0.01
"IOT",0,0,NA,NA
"BRA",0,1076,NA,NA
"VGB",0,0,NA,NA
"BRN",0,0,NA,NA
"BGR",0,2147,NA,NA
"BFA",0,1460,15757000,0.01
"BDI",78948,38010,8303000,1.41
"KHM",0,14024,NA,NA
"CMR",0,13372,19522000,0.07
"CAN",0,123,NA,NA
"CPV",0,25,506000,0
"CYM",0,0,NA,NA
"CAF",51679,164568,4422000,4.89
"TCD",90000,39694,11206000,1.16
"CHL",0,1152,NA,NA
"CHN",0,193428,NA,NA
"COL",3943509,394111,NA,NA
"COM",0,454,676000,0.07
"COG",0,12115,3683000,0.33
"COD",2669069,445910,66020000,4.72
"COK",0,0,NA,NA
"CRI",0,325,NA,NA
"HRV",0,62606,NA,NA
"CUB",0,7728,NA,NA
"CUW",0,0,NA,NA
"CYP",0,11,NA,NA
"CZE",0,622,NA,NA
"DNK",0,9,NA,NA
"DJI",0,640,516055,0.12
"DMA",0,54,NA,NA
"DOM",0,289,NA,NA
"TLS",0,0,1079450,0
"ECU",0,844,NA,NA
"EGY",0,10016,83082869,0.01
"SLV",0,8171,NA,NA
"GNQ",0,0,676000,0
"ERI",0,285369,5073000,5.63
"EST",0,456,NA,NA
"ETH",0,74936,79221000,0.09
"FLK",0,0,NA,NA
"FRO",0,0,NA,NA
"FJI",0,1317,NA,NA
"FIN",0,7,NA,NA
"PYF",0,0,NA,NA
"ATF",0,0,NA,NA
"FRA",0,100,NA,NA
"GUF",0,0,NA,NA
"GAB",0,183,1475000,0.01
"GMB",0,3071,1705000,0.18
"Gaza",0,0,NA,NA
"GEO",279778,9261,NA,NA
"DEU",0,182,NA,NA
"GHA",0,24293,23837000,0.1
"GRC",0,51,NA,NA
"GRL",0,0,NA,NA
"GRD",0,316,NA,NA
"GUM",0,0,NA,NA
"GTM",0,6388,NA,NA
"GGY",0,0,NA,NA
"GIN",0,14050,10069000,0.14
"GNB",0,0,1611000,0
"GUY",0,801,NA,NA
"HTI",0,38568,NA,NA
"HMD",0,0,NA,NA
"HND",0,2613,NA,NA
"HKG",0,0,NA,NA
"HUN",0,1087,NA,NA
"ISL",0,3,NA,NA
"IND",0,14258,1205624648,0
"IOA",0,0,NA,NA
"IDN",0,15523,240271522,0.01
"IRN",0,75916,74462314,0.1
"IRQ",1131810,746200,30962380,6.07
"IRL",0,9,NA,NA
"IMN",0,0,NA,NA
"ISR",0,1340,NA,NA
"ITA",0,66,NA,NA
"CIV",45000,100671,21075000,0.69
"JAM",0,1400,NA,NA
"JPN",0,172,NA,NA
"JEY",0,0,NA,NA
"JOR",0,2368,6454554,0.04
"KAZ",0,3571,NA,NA
"KEN",412000,8947,39802000,1.06
"KIR",0,33,NA,NA
"KOS",0,0,NA,NA
"KWT",0,1197,2991580,0.04
"KGZ",168600,3487,NA,NA
"LAO",0,0,NA,NA
"LVA",0,662,NA,NA
"LBN",0,15106,4341092,0.35
"LSO",0,13,2067000,0
"LBR",0,23416,3476608,0.67
"LBY",59425,5251,6310434,1.02
"LIE",0,0,NA,NA
"LTU",0,491,NA,NA
"LUX",0,0,NA,NA
"MAC",0,0,NA,NA
"MKD",0,7589,NA,NA
"MDG",0,301,19625000,0
"MWI",0,277,15263000,0
"MYS",0,531,NA,NA
"MDV",0,24,325694,0.01
"MLI",227930,149943,13010000,2.9
"MLT",0,6,NA,NA
"MHL",0,0,NA,NA
"MRT",0,33765,3291000,1.03
"MUS",0,62,1288000,0
"MEX",0,8435,NA,NA
"FSM",0,0,NA,NA
"MDA",0,6148,NA,NA
"MCO",0,4,NA,NA
"MNG",0,2114,NA,NA
"MNE",0,4054,NA,NA
"MSR",0,0,NA,NA
"MAR",0,2407,34859364,0.01
"MOZ",0,160,22894000,0
"MMR",430400,415213,48137741,1.76
"CYN",0,0,NA,NA
"PRK",0,1132,24500520,0
"MNP",0,0,NA,NA
"KAS",0,0,NA,NA
